codice_regione,regione,popolazione,superficie,densita,num_comuni,numero_province,region_code_json
13,Abruzzo,1311580,10832,121,305,4,IT-65
17,Basilicata,562869,10073,56,131,2,IT-77
18,Calabria,1947131,15222,128,404,5,IT-78
15,Campania,5801692,13671,424,550,5,IT-72
8,Emilia-Romagna,4459477,22453,199,328,9,IT-45
6,Friuli Venezia Giulia,1215220,7924,153,215,4,IT-36
12,Lazio,5879082,17232,341,378,5,IT-62
7,Liguria,1550640,5416,286,234,4,IT-42
3,Lombardia,10060574,23864,422,2,12,IT-25
11,Marche,1525271,9401,162,228,5,IT-57
14,Molise,305617,4461,69,136,2,IT-67
1,Piemonte,4356406,25387,172,1,8,IT-21
16,Puglia,4029053,19541,206,257,6,IT-75
20,Sardegna,1639591,24100,68,377,5,IT-88
19,Sicilia,4999891,25832,194,390,9,IT-82
9,Toscana,3729641,22987,162,273,10,IT-52
4,Trentino-Alto Adige,1072276,13606,79,282,2,IT-32
10,Umbria,882015,8464,104,92,2,IT-55
2,Valle d'Aosta,125666,3261,39,74,1,IT-23
5,Veneto,4905854,18345,267,563,7,IT-34
